Pos,P+,Artist and Title,Wks,Pk,(x?),Streams,Streams+,Total
91,+52,Tkandz - NOW OR NEVER (w/ CXSPER),2,91,,"77,828","+14,401","141,255"
92,-12,T-Pain - Up Down (Do This All Day) (w/ B.o.B),18,38,,"76,485","-3,192","1,315,781"
93,-12,Hori Shaw - Ready To Ride (w/ Te Wehi),12,50,,"76,193","-3,309","906,019"
94,-3,Metallica - Enter Sandman - Remastered 2021,30,70,,"75,788",+672,"2,037,824"
95,-6,"Chappell Roan - Good Luck, Babe!",79,4,,"75,729",-174,"12,432,271"
96,-2,Lord Huron - The Night We Met,159,31,,"75,255","+1,204","12,224,891"
97,+17,TLC - No Scrubs,203,38,,"75,208","+6,902","13,281,893"
98,+17,Red Hot Chili Peppers - Under the Bridge,252,45,,"75,053","+6,844","13,032,647"
99,=,Lewis Capaldi - Someone You Loved,335,4,,"74,914","+2,648","33,013,313"
100,-8,Kendrick Lamar - All The Stars (w/ SZA),182,2,(x2),"74,831",-275,"17,369,171"
101,-5,Gracie Abrams - That’s So True,52,1,(x3),"74,510","+1,619","9,392,557"
102,+8,Kings of Leon - Use Somebody,63,76,,"73,944","+4,727","4,160,263"
103,-5,"Dream Supplier - Clean Baby Sleep White Noise (Loopable) (w/ Baby Sleeps, Background White Noise)",34,85,,"73,635",+864,"2,258,249"
104,-28,Olivia Dean - Something Inbetween,3,67,,"73,446","-6,716","235,637"
105,+20,Ed Sheeran - Thinking out Loud,379,1,(x8),"73,097","+6,412","20,354,520"
106,-16,Mazzy Star - Fade Into You,34,90,,"72,488","-3,287","2,155,699"
107,+6,Red Hot Chili Peppers - Can't Stop,54,84,,"72,250","+3,833","3,621,579"
108,-11,OneRepublic - Counting Stars,277,2,(x2),"71,934",-892,"11,493,600"
109,+17,Bob Marley & The Wailers - Could You Be Loved,183,44,,"71,495","+5,276","11,796,324"
110,+2,Post Malone - I Had Some Help (Feat. Morgan Wallen) (w/ Morgan Wallen),75,3,(x1),"71,494","+2,428","11,968,380"
111,-6,Te Wehi - Unaware,41,67,,"71,316","+1,319","2,912,639"
112,-11,Billie Eilish - WILDFLOWER,74,11,,"70,898",-121,"9,204,899"
113,-7,Sabrina Carpenter - Espresso,79,2,(x1),"70,754",+996,"15,861,584"
114,-11,Billy Joel - Piano Man,14,92,,"70,469",-135,"831,852"
115,+9,The Neighbourhood - Sweater Weather,251,25,,"70,348","+3,547","17,164,092"
116,+12,Eagles - Hotel California - 2013 Remaster,485,52,,"70,109","+5,070","24,479,186"
117,+40,Ed Sheeran - Shape of You,284,1,(x13),"70,025","+8,434","27,681,663"
118,+21,Michael Jackson - Billie Jean,21,95,,"69,791","+6,106","994,051"
119,+1,TOTO - Africa,413,40,,"69,657","+2,224","24,912,054"
120,-2,Frank Ocean - Lost,236,9,,"69,301","+1,674","17,356,155"
121,+11,Hozier - Take Me To Church,355,1,(x1),"69,209","+4,689","19,643,062"
122,-1,Ed Sheeran - Sapphire,19,28,,"69,194","+2,117","1,703,354"
123,-12,Chappell Roan - The Subway,11,6,,"69,192",+64,"1,370,146"
124,-24,Alex Warren - Eternity,13,7,,"68,953","-2,595","1,646,587"
125,+33,Morgan Wallen - What I Want (w/ Tate McRae),22,18,,"68,068","+6,489","1,845,164"
126,+18,The Doobie Brothers - Listen to the Music,280,45,,"67,765","+4,410","15,397,886"
127,-19,Radiohead - Let Down,21,40,,"67,631","-2,017","1,654,591"
128,+7,Wheatus - Teenage Dirtbag,9,124,,"67,610","+3,434","549,808"
129,-7,Empire Of The Sun - Walking On A Dream,61,86,,"67,341",+321,"3,815,305"
130,+6,Alex Warren - Carry You Home,57,24,,"67,259","+3,083","4,727,677"
131,+34,Mario - Let Me Love You,42,116,,"67,152","+6,657","2,800,376"
132,-5,Journey - Don't Stop Believin' (2022 Remaster),96,22,,"67,142","+1,084","9,043,013"
133,-26,The Marías - No One Noticed,41,51,,"66,608","-3,076","3,035,303"
134,+47,Gunna - wgft (w/ Burna Boy),5,134,,"66,097","+7,768","296,447"
135,+42,Pitbull - Time of Our Lives (w/ Ne-Yo),132,7,,"66,095","+6,983","6,224,620"
